"No.","Time","Source","Destination","Protocol","Length","Info","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","tcp_Flags","tcp_WindowSize","srcPort","destPort","Delay"
"3530","229.412396652","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=85906 Ack=113046 Win=501 Len=0 TSval=1867576050 TSecr=784796446","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000012952"
"3531","229.414250314","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans: 38396; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","38396","Write Single Coil","","","","0x018","502","55868","502","0.001853662"
"3532","229.414553739","10.0.0.2","172.18.0.7","Modbus/TCP","78","Response: Trans: 38396; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","38396","Write Single Coil","3531","0.000303425","","0x018","43","502","55868","0.000303425"
"3533","229.414567331","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=2761 Ack=2669 Win=502 Len=0 TSval=3726711837 TSecr=4262453752","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000013592"
"3534","230.653650871","172.18.0.2","10.0.0.1","S7COMM","121","ROSCTR:[Job     ] Function:[Write Var]","","","","","Job","20","Write Var","64476f687a464a4d704f74486f6f7a6a4c6b6163","","","","","","","","0x018","502","56366","102","1.239083540"
"3535","230.654041285","10.0.0.1","172.18.0.2","S7COMM","88","ROSCTR:[Ack_Data] Function:[Write Var]","","","","","Ack_Data","","Write Var","","","","","","","","","0x018","43","102","56366","0.000390414"
"3536","230.654058917","172.18.0.2","10.0.0.1","TCP","66","56366  >  102 [ACK] Seq=3081 Ack=1233 Win=502 Len=0 TSval=1940931940 TSecr=2261328839","","","","","","","","","","","","","","","","0x010","502","56366","102","0.000017632"
"3537","230.915884896","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans: 17309; Unit:   1, Func:   1: Read Coils","","","","","","","","","","6","17309","Read Coils","","","","0x018","502","55868","502","0.261825979"
"3538","230.916348648","10.0.0.2","172.18.0.7","Modbus/TCP","76","Response: Trans: 17309; Unit:   1, Func:   1: Read Coils","","","","","","","","","","4","17309","Read Coils","3537","0.000463752","","0x018","43","502","55868","0.000463752"
"3539","230.916365102","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=2773 Ack=2679 Win=502 Len=0 TSval=3726713339 TSecr=4262455253","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000016454"
