"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"567","30.240161907","172.18.0.6","10.0.0.1","TCP","24398","102","54","24398  >  102 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000027746","","","","","","","","","","","","","","","","0.000027746"
"568","30.241517022","172.18.0.6","10.0.0.1","TPKT","5191","102","154","Continuation","0x002","8192","0.001355115","","","","","","","","","","","","","","","","0.000000000"
"570","30.241780046","172.18.0.6","10.0.0.1","TCP","5191","102","54","5191  >  102 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000018549","","","","","","","","","","","","","","","","0.000018549"
"571","30.244799096","172.18.0.6","10.0.0.2","TCP","64120","502","154","64120  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.003019050","","","","","","","","","","","","","","","","0.000000000"
"573","30.245008627","172.18.0.6","10.0.0.2","TCP","64120","502","54","64120  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000015069","","","","","","","","","","","","","","","","0.000015069"
"574","30.246729654","172.18.0.6","10.0.0.2","TCP","65205","502","154","65205  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.001721027","","","","","","","","","","","","","","","","0.000000000"
"576","30.247374692","172.18.0.6","10.0.0.2","TCP","65205","502","54","65205  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000047640","","","","","","","","","","","","","","","","0.000047640"
"577","30.252858652","172.18.0.6","10.0.0.2","TCP","41000","502","154","41000  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.005483960","","","","","","","","","","","","","","","","0.000000000"
"579","30.253191796","172.18.0.6","10.0.0.2","TCP","41000","502","54","41000  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000029957","","","","","","","","","","","","","","","","0.000029957"
"580","30.255435383","172.18.0.6","10.0.0.3","TCP","24512","4840","154","24512  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.002243587","","","","","","","","","","","","","","","","0.000000000"
"582","30.255753637","172.18.0.6","10.0.0.3","TCP","24512","4840","54","24512  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000024275","","","","","","","","","","","","","","","","0.000024275"
"583","30.261291256","172.18.0.6","10.0.0.1","TPKT","26199","102","154","Continuation","0x002","8192","0.005537619","","","","","","","","","","","","","","","","0.000000000"
"585","30.261535878","172.18.0.6","10.0.0.1","TCP","26199","102","54","26199  >  102 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000027698","","","","","","","","","","","","","","","","0.000027698"
"586","30.262585494","172.18.0.6","10.0.0.3","TCP","6923","4840","154","6923  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001049616","","","","","","","","","","","","","","","","0.000000000"
"588","30.262776763","172.18.0.6","10.0.0.3","TCP","6923","4840","54","6923  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000014281","","","","","","","","","","","","","","","","0.000014281"
"589","30.263117447","172.18.0.6","10.0.0.3","TCP","13322","4840","154","13322  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.000340684","","","","","","","","","","","","","","","","0.000000000"
"591","30.263367559","172.18.0.6","10.0.0.3","TCP","13322","4840","54","13322  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000036900","","","","","","","","","","","","","","","","0.000036900"
"592","30.264736729","172.18.0.6","10.0.0.1","TPKT","6798","102","154","Continuation","0x002","8192","0.001369170","","","","","","","","","","","","","","","","0.000000000"
"594","30.265009806","172.18.0.6","10.0.0.1","TCP","6798","102","54","6798  >  102 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000042195","","","","","","","","","","","","","","","","0.000042195"
"595","30.268125753","172.18.0.6","10.0.0.2","TCP","20881","502","154","20881  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.003115947","","","","","","","","","","","","","","","","0.000000000"
"597","30.268317263","172.18.0.6","10.0.0.2","TCP","20881","502","54","20881  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000024440","","","","","","","","","","","","","","","","0.000024440"
"598","30.271458532","172.18.0.6","10.0.0.2","TCP","64384","502","154","64384  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.003141269","","","","","","","","","","","","","","","","0.000000000"
"600","30.271795830","172.18.0.6","10.0.0.2","TCP","64384","502","54","64384  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000042756","","","","","","","","","","","","","","","","0.000042756"
"601","30.273264877","172.18.0.6","10.0.0.1","TPKT","27679","102","154","Continuation","0x002","8192","0.001469047","","","","","","","","","","","","","","","","0.000000000"
